x	rho	u	p
0	1	0	1
0.00497512	1	0	1
0.00995025	1	0	1
0.0149254	1	0	1
0.0199005	1	0	1
0.0248756	1	0	1
0.0298507	1	0	1
0.0348259	1	0	1
0.039801	1	0	1
0.0447761	1	0	1
0.0497512	1	0	1
0.0547264	1	0	1
0.0597015	1	0	1
0.0646766	1	0	1
0.0696517	1	0	1
0.0746269	1	0	1
0.079602	1	0	1
0.0845771	1	0	1
0.0895522	1	0	1
0.0945274	1	0	1
0.0995025	1	0	1
0.104478	1	0	1
0.109453	1	0	1
0.114428	1	0	1
0.119403	1	0	1
0.124378	1	0	1
0.129353	1	0	1
0.134328	1	0	1
0.139303	1	0	1
0.144279	1	0	1
0.149254	1	0	1
0.154229	1	0	1
0.159204	1	0	1
0.164179	1	-5.80203e-17	1
0.169154	1	-6.73928e-16	1
0.174129	1	3.86102e-14	1
0.179104	1	1.13997e-12	1
0.18408	1	2.59737e-12	1
0.189055	1	3.71441e-12	1
0.19403	1	-2.57333e-10	1
0.199005	1	-1.03555e-09	1
0.20398	1	-1.73986e-09	1
0.208955	1	-1.28928e-09	1
0.21393	1	2.10686e-07	1
0.218905	1	5.61719e-07	0.999999
0.223881	0.999999	8.39907e-07	0.999999
0.228856	0.999999	1.0373e-06	0.999999
0.233831	1.00004	-4.50597e-05	1.00005
0.238806	1.00014	-0.000166354	1.0002
0.243781	1.00023	-0.000274087	1.00032
0.248756	1.0003	-0.000356404	1.00042
0.253731	1.00035	-0.000413265	1.00049
0.258706	1.00038	-0.000444224	1.00053
0.263682	0.991248	0.0103643	0.987794
0.268657	0.974468	0.0304763	0.964463
0.273632	0.958135	0.050337	0.941908
0.278607	0.94212	0.0700742	0.919943
0.283582	0.926356	0.0897627	0.898471
0.288557	0.910812	0.109443	0.87744
0.293532	0.89547	0.129134	0.856821
0.298507	0.880319	0.148846	0.836598
0.303483	0.865357	0.168579	0.816764
0.308458	0.850584	0.188332	0.797315
0.313433	0.836003	0.2081	0.77825
0.318408	0.821616	0.227877	0.759569
0.323383	0.807426	0.247656	0.741271
0.328358	0.793435	0.267431	0.723356
0.333333	0.779647	0.287196	0.705823
0.338308	0.766062	0.306944	0.688669
0.343284	0.752679	0.326672	0.671891
0.348259	0.7395	0.346377	0.655484
0.353234	0.726521	0.366058	0.63944
0.358209	0.71374	0.385717	0.623752
0.363184	0.70115	0.405359	0.608408
0.368159	0.688745	0.424989	0.593398
0.373134	0.676517	0.444619	0.578706
0.378109	0.664456	0.464259	0.56432
0.383085	0.652553	0.483925	0.550224
0.38806	0.640796	0.503632	0.536401
0.393035	0.629174	0.523398	0.522837
0.39801	0.617677	0.543243	0.509516
0.402985	0.606293	0.563184	0.496425
0.40796	0.595014	0.58324	0.48355
0.412935	0.583831	0.603425	0.470882
0.41791	0.572739	0.623754	0.458412
0.422886	0.561735	0.644235	0.446136
0.427861	0.550817	0.664874	0.434052
0.432836	0.539986	0.685673	0.422159
0.437811	0.529247	0.706628	0.41046
0.442786	0.51861	0.727723	0.398965
0.447761	0.508089	0.74893	0.387688
0.452736	0.497696	0.770227	0.37664
0.457711	0.487416	0.791645	0.365803
0.462687	0.477192	0.813307	0.355114
0.467662	0.467008	0.835254	0.344559
0.472637	0.457114	0.856951	0.33439
0.477612	0.44802	0.877258	0.325102
0.482587	0.439291	0.897058	0.316244
0.487562	0.428338	0.921794	0.305621
0.492537	0.417936	0.946981	0.29581
0.497512	0.418656	0.948156	0.294671
0.502488	0.419991	0.944826	0.295662
0.507463	0.428269	0.924537	0.304118
0.512438	0.427294	0.924105	0.304021
0.517413	0.426285	0.92513	0.303671
0.522388	0.425935	0.92615	0.303432
0.527363	0.425727	0.926965	0.303139
0.532338	0.426016	0.926317	0.303322
0.537313	0.426413	0.925325	0.303593
0.542289	0.426076	0.926108	0.30325
0.547264	0.425433	0.927711	0.302651
0.552239	0.425747	0.927367	0.302956
0.557214	0.426794	0.925484	0.303976
0.562189	0.427837	0.923703	0.304963
0.567164	0.427314	0.925251	0.304407
0.572139	0.425657	0.928915	0.302833
0.577114	0.426665	0.9264	0.303872
0.58209	0.427303	0.9246	0.304578
0.587065	0.426416	0.926582	0.303702
0.59204	0.425715	0.928094	0.303007
0.597015	0.426195	0.926887	0.303513
0.60199	0.427105	0.924626	0.304495
0.606965	0.426801	0.924979	0.304273
0.61194	0.426019	0.925989	0.303586
0.616915	0.425571	0.925806	0.30383
0.621891	0.424972	0.925633	0.303883
0.626866	0.424227	0.925536	0.30386
0.631841	0.423621	0.925169	0.304102
0.636816	0.423022	0.925244	0.304091
0.641791	0.422535	0.925629	0.303928
0.646766	0.422032	0.926174	0.303605
0.651741	0.421623	0.926097	0.303695
0.656716	0.421128	0.924959	0.304203
0.661692	0.41919	0.924258	0.304415
0.666667	0.414861	0.924079	0.304507
0.671642	0.406863	0.924592	0.304351
0.676617	0.393765	0.925911	0.303876
0.681592	0.374775	0.927075	0.303472
0.686567	0.349939	0.926539	0.303712
0.691542	0.319159	0.925789	0.303747
0.696517	0.283427	0.923936	0.303191
0.701493	0.265353	0.92671	0.303862
0.706468	0.265009	0.927682	0.303908
0.711443	0.265213	0.927046	0.304215
0.716418	0.265471	0.92695	0.304165
0.721393	0.265982	0.927361	0.304014
0.726368	0.266879	0.927864	0.303865
0.731343	0.268098	0.928049	0.303945
0.736318	0.268644	0.926926	0.303981
0.741294	0.269026	0.925023	0.304363
0.746269	0.269124	0.924123	0.304592
0.751244	0.268987	0.924532	0.304371
0.756219	0.268662	0.926079	0.30381
0.761194	0.26861	0.926025	0.303566
0.766169	0.268838	0.924972	0.303889
0.771144	0.268681	0.925453	0.303702
0.776119	0.268466	0.925627	0.303571
0.781095	0.268227	0.925251	0.303785
0.78607	0.26816	0.924704	0.303978
0.791045	0.26788	0.926123	0.303617
0.79602	0.268019	0.926511	0.303621
0.800995	0.268617	0.92447	0.304356
0.80597	0.268681	0.92512	0.30433
0.810945	0.268128	0.929146	0.303193
0.81592	0.268181	0.930356	0.303331
0.820896	0.268833	0.927232	0.304475
0.825871	0.268985	0.925011	0.305353
0.830846	0.268046	0.925551	0.303999
0.835821	0.268157	0.91398	0.302937
0.840796	0.261885	0.896128	0.291596
