x	rho	u	p
0	1	0	1
0.00497512	1	0	1
0.00995025	1	4.51263e-11	1
0.0149254	1	9.61013e-11	1
0.0199005	1	1.93952e-10	1
0.0248756	1	3.8377e-10	1
0.0298507	1	7.49999e-10	1
0.0348259	1	1.45005e-09	1
0.039801	1	2.77448e-09	1
0.0447761	1	5.25361e-09	1
0.0497512	1	9.84425e-09	1
0.0547264	1	1.82522e-08	1
0.0597015	1	3.34823e-08	1
0.0646766	1	6.07627e-08	1
0.0696517	1	1.09078e-07	1
0.0746269	1	1.93673e-07	1
0.079602	1	3.40086e-07	1
0.0845771	1	5.90538e-07	0.999999
0.0895522	0.999999	1.01391e-06	0.999999
0.0945274	0.999999	1.72103e-06	0.999998
0.0995025	0.999998	2.88785e-06	0.999997
0.104478	0.999996	4.78961e-06	0.999995
0.109453	0.999994	7.85086e-06	0.999992
0.114428	0.99999	1.27166e-05	0.999986
0.119403	0.999985	2.03522e-05	0.999978
0.124378	0.999976	3.21797e-05	0.999966
0.129353	0.999962	5.02609e-05	0.999946
0.134328	0.999941	7.75359e-05	0.999917
0.139303	0.99991	0.000118126	0.999873
0.144279	0.999864	0.00017771	0.999808
0.149254	0.999798	0.000263966	0.999714
0.154229	0.999703	0.000387086	0.999579
0.159204	0.999568	0.00056034	0.999389
0.164179	0.999381	0.000800651	0.999125
0.169154	0.999125	0.00112916	0.998762
0.174129	0.998778	0.00157171	0.998273
0.179104	0.998316	0.00215916	0.997621
0.18408	0.99771	0.00292755	0.996766
0.189055	0.996926	0.00391792	0.995661
0.19403	0.995927	0.00517582	0.994255
0.199005	0.994673	0.00675056	0.992491
0.20398	0.993121	0.00869397	0.990311
0.208955	0.991228	0.0110591	0.987656
0.21393	0.98895	0.0138984	0.984465
0.218905	0.986248	0.0172623	0.980686
0.223881	0.983084	0.0211975	0.976267
0.228856	0.979424	0.0257453	0.971167
0.233831	0.975243	0.0309406	0.965354
0.238806	0.970521	0.036811	0.958804
0.243781	0.965246	0.0433764	0.951506
0.248756	0.959414	0.0506489	0.943459
0.253731	0.953026	0.0586326	0.934674
0.258706	0.946093	0.067325	0.92517
0.263682	0.93863	0.0767168	0.914975
0.268657	0.930659	0.0867934	0.904126
0.273632	0.922203	0.0975355	0.892664
0.278607	0.913292	0.10892	0.880634
0.283582	0.903957	0.120922	0.868087
0.288557	0.89423	0.133514	0.855072
0.293532	0.884145	0.146667	0.841641
0.298507	0.873735	0.160352	0.827845
0.303483	0.863032	0.174541	0.813733
0.308458	0.85207	0.189204	0.799355
0.313433	0.840879	0.204314	0.784755
0.318408	0.829488	0.219845	0.769977
0.323383	0.817927	0.235771	0.755063
0.328358	0.80622	0.252069	0.740048
0.333333	0.794393	0.268715	0.72497
0.338308	0.782469	0.285689	0.709859
0.343284	0.770468	0.302972	0.694745
0.348259	0.75841	0.320544	0.679655
0.353234	0.746314	0.33839	0.664613
0.358209	0.734195	0.356494	0.649641
0.363184	0.722069	0.374843	0.634758
0.368159	0.709948	0.393422	0.619983
0.373134	0.697846	0.41222	0.60533
0.378109	0.685774	0.431227	0.590815
0.383085	0.673742	0.450433	0.576448
0.38806	0.66176	0.46983	0.562241
0.393035	0.649834	0.489409	0.548203
0.39801	0.637974	0.509163	0.534343
0.402985	0.626185	0.529087	0.520667
0.40796	0.614473	0.549174	0.507181
0.412935	0.602844	0.569421	0.493891
0.41791	0.591303	0.589822	0.480801
0.422886	0.579853	0.610375	0.467914
0.427861	0.568498	0.631077	0.455232
0.432836	0.557242	0.651925	0.442759
0.437811	0.546088	0.672917	0.430495
0.442786	0.535037	0.694052	0.418443
0.447761	0.524092	0.715328	0.406602
0.452736	0.513257	0.736742	0.394975
0.457711	0.502533	0.75829	0.383563
0.462687	0.491927	0.779966	0.372368
0.467662	0.481445	0.801754	0.361398
0.472637	0.471103	0.823623	0.350665
0.477612	0.460929	0.845506	0.340197
0.482587	0.450987	0.867255	0.330057
0.487562	0.441427	0.888508	0.320391
0.492537	0.432628	0.908344	0.311575
0.497512	0.425573	0.924375	0.304575
0.502488	0.42217	0.93202	0.301255
0.507463	0.422604	0.930878	0.301743
0.512438	0.422787	0.930312	0.301984
0.517413	0.422876	0.92996	0.302135
0.522388	0.422918	0.929708	0.302242
0.527363	0.422931	0.929513	0.302326
0.532338	0.422925	0.929352	0.302395
0.537313	0.422904	0.929214	0.302454
0.542289	0.42287	0.929093	0.302506
0.547264	0.422824	0.928985	0.302552
0.552239	0.422766	0.928886	0.302595
0.557214	0.422696	0.928797	0.302633
0.562189	0.422613	0.928715	0.302669
0.567164	0.422515	0.928639	0.302701
0.572139	0.4224	0.928569	0.302731
0.577114	0.422265	0.928505	0.302759
0.58209	0.422103	0.928446	0.302784
0.587065	0.421906	0.928393	0.302807
0.59204	0.421662	0.928344	0.302828
0.597015	0.42135	0.9283	0.302846
0.60199	0.420942	0.928262	0.302861
0.606965	0.420394	0.92823	0.302873
0.61194	0.419649	0.928206	0.30288
0.616915	0.41863	0.928189	0.302882
0.621891	0.417239	0.928182	0.302878
0.626866	0.415362	0.928186	0.302866
0.631841	0.412869	0.928203	0.302846
0.636816	0.409628	0.928235	0.302815
0.641791	0.405515	0.928283	0.302774
0.646766	0.400429	0.92835	0.302721
0.651741	0.39431	0.928436	0.302656
0.656716	0.387153	0.928541	0.30258
0.661692	0.379016	0.928663	0.302497
0.666667	0.370028	0.928798	0.302411
0.671642	0.360377	0.928938	0.302327
0.676617	0.350302	0.929073	0.302252
0.681592	0.340073	0.92919	0.302194
0.686567	0.329968	0.929278	0.302159
0.691542	0.320249	0.929325	0.302152
0.696517	0.311144	0.929324	0.302172
0.701493	0.302829	0.929274	0.302221
0.706468	0.295426	0.929177	0.302292
0.711443	0.288997	0.929041	0.302381
0.716418	0.283549	0.928879	0.30248
0.721393	0.279044	0.928703	0.302582
0.726368	0.275409	0.928526	0.302681
0.731343	0.272548	0.928359	0.302772
0.736318	0.270353	0.928209	0.302852
0.741294	0.268712	0.92808	0.302919
0.746269	0.267518	0.927971	0.302973
0.751244	0.266676	0.927881	0.303015
0.756219	0.2661	0.927805	0.303044
0.761194	0.265721	0.927737	0.303062
0.766169	0.265479	0.927668	0.303068
0.771144	0.265331	0.927584	0.303059
