x	rho	u	p
0	1	0	1
0.00497512	1	0	1
0.00995025	1	0	1
0.0149254	1	0	1
0.0199005	1	0	1
0.0248756	1	0	1
0.0298507	1	0	1
0.0348259	1	0	1
0.039801	1	0	1
0.0447761	1	0	1
0.0497512	1	0	1
0.0547264	1	0	1
0.0597015	1	0	1
0.0646766	1	0	1
0.0696517	1	0	1
0.0746269	1	0	1
0.079602	1	0	1
0.0845771	1	0	1
0.0895522	1	0	1
0.0945274	1	0	1
0.0995025	1	0	1
0.104478	1	0	1
0.109453	1	0	1
0.114428	1	0	1
0.119403	1	0	1
0.124378	1	0	1
0.129353	1	0	1
0.134328	1	0	1
0.139303	1	0	1
0.144279	1	0	1
0.149254	1	0	1
0.154229	1	-8.92619e-18	1
0.159204	1	-4.4631e-15	1
0.164179	1	-1.22289e-14	1
0.169154	1	-1.94011e-14	1
0.174129	1	1.01284e-12	1
0.179104	1	4.75934e-12	1
0.18408	1	7.88015e-12	1
0.189055	1	-1.83439e-11	1
0.19403	1	-1.09388e-09	1
0.199005	1	-2.53907e-09	1
0.20398	1	-3.45682e-09	1
0.208955	1	3.49736e-08	1
0.21393	1	4.59636e-07	0.999999
0.218905	0.999999	9.4936e-07	0.999999
0.223881	0.999999	1.37142e-06	0.999998
0.228856	0.999999	1.69229e-06	0.999998
0.233831	1.00006	-7.69473e-05	1.00008
0.238806	1.00018	-0.000213637	1.00025
0.243781	1.00029	-0.000338775	1.0004
0.248756	1.00037	-0.000436918	1.00052
0.253731	1.00042	-0.000498249	1.00059
0.258706	1.00035	-0.000412465	1.00049
0.263682	0.991319	0.011536	0.987658
0.268657	0.974727	0.0302156	0.964806
0.273632	0.958615	0.0495382	0.942582
0.278607	0.942825	0.0689762	0.920942
0.283582	0.927247	0.0883424	0.89972
0.288557	0.91188	0.107703	0.878924
0.293532	0.896716	0.127109	0.85854
0.298507	0.881724	0.146552	0.838522
0.303483	0.866896	0.166035	0.818857
0.308458	0.852232	0.18557	0.799541
0.313433	0.837731	0.20516	0.780569
0.318408	0.823389	0.224802	0.761935
0.323383	0.809208	0.244497	0.743636
0.328358	0.795187	0.264244	0.725669
0.333333	0.781327	0.284042	0.708032
0.338308	0.767627	0.30389	0.690722
0.343284	0.754088	0.323788	0.673736
0.348259	0.740709	0.343733	0.65707
0.353234	0.727492	0.363725	0.640723
0.358209	0.714434	0.383764	0.62469
0.363184	0.701537	0.403848	0.608968
0.368159	0.6888	0.423976	0.593554
0.373134	0.676223	0.444148	0.578444
0.378109	0.663804	0.464362	0.563635
0.383085	0.651545	0.484619	0.549124
0.38806	0.639443	0.504916	0.534906
0.393035	0.6275	0.525254	0.520979
0.39801	0.615714	0.545631	0.507339
0.402985	0.604084	0.566046	0.493982
0.40796	0.592611	0.586499	0.480904
0.412935	0.581292	0.60699	0.468102
0.41791	0.570127	0.627519	0.455571
0.422886	0.559115	0.648087	0.443306
0.427861	0.548252	0.668694	0.431302
0.432836	0.537538	0.689344	0.419556
0.437811	0.52697	0.710039	0.40806
0.442786	0.516546	0.73078	0.396811
0.447761	0.506264	0.75157	0.385804
0.452736	0.496125	0.772404	0.375038
0.457711	0.486135	0.79327	0.364515
0.462687	0.476307	0.814135	0.354246
0.467662	0.466667	0.834938	0.344257
0.472637	0.457256	0.855582	0.334583
0.477612	0.448119	0.875953	0.325267
0.482587	0.439278	0.895976	0.316325
0.487562	0.430668	0.915769	0.307688
0.492537	0.42192	0.936111	0.298996
0.497512	0.41153	0.960879	0.28872
0.502488	0.378977	1.04269	0.257129
0.507463	0.458318	0.856687	0.335205
0.512438	0.425736	0.926933	0.302862
0.517413	0.425614	0.927115	0.302697
0.522388	0.425677	0.92718	0.302708
0.527363	0.426064	0.926657	0.303031
0.532338	0.426559	0.925772	0.303513
0.537313	0.426971	0.924931	0.303935
0.542289	0.427225	0.92439	0.304194
0.547264	0.427234	0.924284	0.304231
0.552239	0.426905	0.924809	0.303948
0.557214	0.426602	0.925229	0.303688
0.562189	0.426493	0.925269	0.303574
0.567164	0.426517	0.925232	0.303591
0.572139	0.426559	0.925224	0.30361
0.577114	0.426588	0.925315	0.303611
0.58209	0.426604	0.925441	0.303621
0.587065	0.426584	0.925482	0.303615
0.59204	0.426553	0.925479	0.30362
0.597015	0.426496	0.925442	0.303625
0.60199	0.426423	0.925375	0.30363
0.606965	0.426368	0.925275	0.303623
0.61194	0.426379	0.925207	0.303629
0.616915	0.426412	0.925173	0.303634
0.621891	0.426467	0.925169	0.303635
0.626866	0.426522	0.925206	0.303635
0.631841	0.426503	0.925251	0.303645
0.636816	0.426412	0.92526	0.303671
0.641791	0.426107	0.925244	0.303701
0.646766	0.425365	0.925237	0.303726
0.651741	0.423868	0.925237	0.303743
0.656716	0.421168	0.925231	0.303753
0.661692	0.416682	0.925216	0.303757
0.666667	0.409719	0.925197	0.303755
0.671642	0.39955	0.925181	0.303747
0.676617	0.385523	0.925176	0.303731
0.681592	0.367206	0.925201	0.303699
0.686567	0.344554	0.925259	0.303635
0.691542	0.318064	0.925482	0.303496
0.696517	0.288952	0.927258	0.302997
0.701493	0.264981	0.927728	0.3038
0.706468	0.262111	0.925615	0.303675
0.711443	0.262061	0.925556	0.303696
0.716418	0.262194	0.925556	0.303692
0.721393	0.262651	0.92553	0.303696
0.726368	0.263492	0.92549	0.303705
0.731343	0.264661	0.925448	0.303774
0.736318	0.265687	0.92542	0.303697
0.741294	0.265783	0.925378	0.303663
0.746269	0.265788	0.925323	0.303651
0.751244	0.265771	0.925274	0.303635
0.756219	0.265734	0.925217	0.303619
0.761194	0.265693	0.925165	0.303605
0.766169	0.265673	0.925111	0.303586
0.771144	0.265682	0.925037	0.303568
0.776119	0.265699	0.924992	0.30356
0.781095	0.265724	0.924971	0.303551
0.78607	0.26576	0.924946	0.303547
0.791045	0.265792	0.924911	0.303546
0.79602	0.265804	0.924931	0.303534
0.800995	0.265814	0.924898	0.303523
0.80597	0.265843	0.924807	0.303541
0.810945	0.265816	0.924911	0.303488
0.81592	0.265862	0.924685	0.303528
0.820896	0.265809	0.92465	0.303428
0.825871	0.265715	0.924022	0.303259
0.830846	0.265337	0.92208	0.302641
0.835821	0.264039	0.915716	0.300564
