x	rho	u	p
0	1	0	1
0.01	0.999934	7.82032e-05	0.999907
0.02	0.999886	0.000134526	0.999841
0.03	0.999808	0.000226839	0.999732
0.04	0.999683	0.000374821	0.999557
0.05	0.999487	0.000606739	0.999282
0.06	0.999187	0.000961916	0.998862
0.07	0.998738	0.00149327	0.998234
0.08	0.998083	0.00226953	0.997318
0.09	0.997148	0.00337678	0.996011
0.1	0.995848	0.00491867	0.994194
0.11	0.994081	0.00701504	0.991728
0.12	0.991739	0.00979867	0.988461
0.13	0.988705	0.0134101	0.984236
0.14	0.984866	0.0179913	0.978899
0.15	0.980114	0.0236779	0.972307
0.16	0.974358	0.0305926	0.964343
0.17	0.967525	0.0388388	0.954917
0.18	0.959567	0.0484961	0.943977
0.19	0.950462	0.0596178	0.93151
0.2	0.940213	0.0722306	0.917541
0.21	0.92885	0.0863361	0.902131
0.22	0.916422	0.101914	0.88537
0.23	0.902996	0.118924	0.867372
0.24	0.888653	0.137312	0.848268
0.25	0.873482	0.157015	0.828199
0.26	0.857575	0.177961	0.807312
0.27	0.841028	0.200074	0.785752
0.28	0.823936	0.223279	0.763661
0.29	0.806387	0.247502	0.741172
0.3	0.788468	0.272671	0.71841
0.31	0.77026	0.298716	0.695491
0.32	0.751835	0.325574	0.672517
0.33	0.733262	0.353187	0.649582
0.34	0.714601	0.381499	0.626768
0.35	0.695907	0.410462	0.604147
0.36	0.677229	0.440032	0.581781
0.37	0.658611	0.470168	0.559725
0.38	0.64009	0.500835	0.538024
0.39	0.621701	0.532001	0.516716
0.4	0.603473	0.563639	0.495835
0.41	0.585432	0.595723	0.475406
0.42	0.567601	0.62823	0.455453
0.43	0.550002	0.661139	0.435994
0.44	0.532655	0.694425	0.417046
0.45	0.515583	0.728059	0.398627
0.46	0.498814	0.761991	0.380761
0.47	0.482394	0.796133	0.363487
0.48	0.466414	0.830285	0.34689
0.49	0.451084	0.863959	0.331171
0.5	0.436975	0.895784	0.316886
0.51	0.425781	0.921593	0.305696
0.52	0.421052	0.93249	0.301076
0.53	0.420954	0.932409	0.301111
0.54	0.421151	0.931592	0.301456
0.55	0.421244	0.930987	0.301712
0.56	0.42128	0.930471	0.30193
0.57	0.421264	0.930036	0.302115
0.58	0.421229	0.929599	0.3023
0.59	0.421203	0.929091	0.302515
0.6	0.421158	0.928558	0.302741
0.61	0.421011	0.928138	0.30292
0.62	0.420631	0.927988	0.302984
0.63	0.419878	0.928154	0.302914
0.64	0.41862	0.928478	0.302779
0.65	0.416682	0.9287	0.302685
0.66	0.413774	0.928683	0.302693
0.67	0.409492	0.928507	0.302766
0.68	0.403441	0.928351	0.302829
0.69	0.395379	0.928338	0.302832
0.7	0.385302	0.928478	0.30277
0.71	0.37347	0.928681	0.302681
0.72	0.360363	0.92881	0.30262
0.73	0.346598	0.928769	0.302621
0.74	0.332832	0.928551	0.30268
0.75	0.319684	0.928214	0.30277
0.76	0.307666	0.927846	0.302851
0.77	0.297139	0.927522	0.30289
0.78	0.288286	0.927281	0.302861
0.79	0.281129	0.927098	0.302759
0.8	0.275561	0.92686	0.302595
0.81	0.271379	0.92643	0.302379
0.82	0.268321	0.925681	0.302092
0.83	0.266094	0.924525	0.301677
0.84	0.264416	0.922783	0.30107
0.85	0.263023	0.920168	0.300177
0.86	0.261631	0.916309	0.29886
0.87	0.259975	0.910617	0.296929
0.88	0.257693	0.902485	0.294077
0.89	0.254438	0.890844	0.289931
0.9	0.24985	0.874118	0.283995
0.91	0.243386	0.850212	0.27562
0.92	0.234541	0.815859	0.26412
0.93	0.222835	0.766501	0.248746
0.94	0.207972	0.696552	0.228909
0.95	0.190195	0.60056	0.204606
0.96	0.171383	0.475217	0.177201
0.97	0.154286	0.329372	0.149993
0.98	0.144557	0.189264	0.127531
0.99	0.125	0	0.1
