x	rho	u	p
0	1	0	1
0.00497512	1	0	1
0.00995025	1	0	1
0.0149254	1	0	1
0.0199005	1	0	1
0.0248756	1	4.4631e-17	1
0.0298507	1	6.24834e-16	1
0.0348259	1	3.57271e-15	1
0.039801	1	1.23784e-14	1
0.0447761	1	3.62314e-14	1
0.0497512	1	1.00163e-13	1
0.0547264	1	2.68951e-13	1
0.0597015	1	7.098e-13	1
0.0646766	1	1.84572e-12	1
0.0696517	1	4.73368e-12	1
0.0746269	1	1.19756e-11	1
0.079602	1	2.98836e-11	1
0.0845771	1	7.35413e-11	1
0.0895522	1	1.78447e-10	1
0.0945274	1	4.26846e-10	1
0.0995025	1	1.00628e-09	1
0.104478	1	2.33744e-09	1
0.109453	1	5.34853e-09	1
0.114428	1	1.20527e-08	1
0.119403	1	2.67404e-08	1
0.124378	1	5.83934e-08	1
0.129353	1	1.25471e-07	1
0.134328	1	2.65194e-07	1
0.139303	1	5.51172e-07	0.999999
0.144279	0.999999	1.12606e-06	0.999999
0.149254	0.999998	2.26061e-06	0.999998
0.154229	0.999997	4.45774e-06	0.999995
0.159204	0.999993	8.63079e-06	0.999991
0.164179	0.999988	1.64001e-05	0.999983
0.169154	0.999977	3.05706e-05	0.999967
0.174129	0.999957	5.58745e-05	0.99994
0.179104	0.999923	0.000100082	0.999893
0.18408	0.999865	0.00017559	0.999811
0.189055	0.999768	0.000301581	0.999675
0.19403	0.999608	0.000506779	0.999452
0.199005	0.999354	0.000832709	0.999096
0.20398	0.998959	0.00133715	0.998543
0.208955	0.998361	0.00209723	0.997706
0.21393	0.997481	0.00321129	0.996475
0.218905	0.996222	0.0047986	0.994713
0.223881	0.994473	0.00699586	0.992266
0.228856	0.992112	0.00995003	0.988967
0.233831	0.989021	0.0138078	0.98465
0.238806	0.98509	0.0187027	0.979166
0.243781	0.980233	0.0247425	0.972401
0.248756	0.974397	0.0319983	0.964285
0.253731	0.967565	0.0404993	0.954808
0.258706	0.95976	0.0502318	0.944009
0.263682	0.951037	0.0611447	0.931981
0.268657	0.941478	0.0731576	0.918849
0.273632	0.931182	0.0861712	0.904762
0.278607	0.920253	0.100078	0.88988
0.283582	0.908798	0.114768	0.874356
0.288557	0.896914	0.130139	0.858338
0.293532	0.884692	0.146097	0.841954
0.298507	0.87221	0.162556	0.82532
0.303483	0.859538	0.179445	0.808532
0.308458	0.846733	0.1967	0.791672
0.313433	0.833844	0.214268	0.774808
0.318408	0.820911	0.232105	0.757996
0.323383	0.807968	0.250172	0.741282
0.328358	0.795044	0.268438	0.724703
0.333333	0.782163	0.286874	0.708289
0.338308	0.769343	0.305458	0.692065
0.343284	0.756601	0.32417	0.676051
0.348259	0.743951	0.342993	0.660263
0.353234	0.731403	0.361911	0.644713
0.358209	0.718969	0.380913	0.629412
0.363184	0.706656	0.399986	0.614368
0.368159	0.694471	0.419118	0.599588
0.373134	0.68242	0.438302	0.585076
0.378109	0.670509	0.457526	0.570837
0.383085	0.658743	0.476781	0.556874
0.38806	0.647127	0.49606	0.54319
0.393035	0.635664	0.515351	0.529788
0.39801	0.62436	0.534645	0.516668
0.402985	0.613218	0.553931	0.503834
0.40796	0.602244	0.573198	0.491287
0.412935	0.591442	0.592432	0.479031
0.41791	0.580818	0.611618	0.467068
0.422886	0.570378	0.630739	0.455401
0.427861	0.56013	0.649774	0.444036
0.432836	0.550083	0.668699	0.432979
0.437811	0.540245	0.687486	0.422236
0.442786	0.53063	0.706101	0.411817
0.447761	0.521251	0.724504	0.401732
0.452736	0.512126	0.742646	0.391997
0.457711	0.503274	0.76047	0.382627
0.462687	0.494719	0.777907	0.373643
0.467662	0.48649	0.794877	0.365069
0.472637	0.478618	0.811286	0.356934
0.477612	0.471142	0.827025	0.34927
0.482587	0.464103	0.841971	0.342114
0.487562	0.457547	0.855991	0.335505
0.492537	0.451522	0.868946	0.329484
0.497512	0.446076	0.880698	0.32409
0.502488	0.441249	0.891124	0.319355
0.507463	0.437073	0.900131	0.315298
0.512438	0.43356	0.907673	0.311923
0.517413	0.4307	0.913763	0.309209
0.522388	0.428457	0.918483	0.307111
0.527363	0.426766	0.921974	0.305559
0.532338	0.425546	0.924427	0.304467
0.537313	0.424701	0.926055	0.30374
0.542289	0.424139	0.927067	0.303285
0.547264	0.423772	0.92765	0.303021
0.552239	0.423533	0.927953	0.302882
0.557214	0.423369	0.928086	0.302819
0.562189	0.423242	0.928123	0.302799
0.567164	0.423128	0.928111	0.302801
0.572139	0.423009	0.928078	0.302813
0.577114	0.422874	0.928039	0.302827
0.58209	0.422709	0.928	0.302839
0.587065	0.422499	0.927966	0.302848
0.59204	0.422224	0.927941	0.302852
0.597015	0.421853	0.927926	0.302848
0.60199	0.421346	0.927924	0.302835
0.606965	0.420647	0.927937	0.302809
0.61194	0.419686	0.927968	0.302769
0.616915	0.418377	0.928021	0.302713
0.621891	0.41662	0.928098	0.302637
0.626866	0.414306	0.928202	0.30254
0.631841	0.411321	0.928333	0.302424
0.636816	0.40756	0.928492	0.302289
0.641791	0.402936	0.928676	0.302139
0.646766	0.397388	0.928883	0.30198
0.651741	0.390901	0.929105	0.301818
0.656716	0.383502	0.929335	0.301661
0.661692	0.375276	0.929563	0.301519
0.666667	0.366357	0.929778	0.3014
0.671642	0.356926	0.929965	0.301312
0.676617	0.347198	0.930113	0.30126
0.681592	0.337409	0.930208	0.30125
0.686567	0.327796	0.930241	0.301281
0.691542	0.318583	0.930205	0.301353
0.696517	0.309962	0.930101	0.30146
0.701493	0.302086	0.929933	0.301596
0.706468	0.295057	0.929712	0.301752
0.711443	0.28893	0.929453	0.301919
0.716418	0.283712	0.929172	0.302089
0.721393	0.279369	0.928886	0.302253
0.726368	0.275838	0.92861	0.302405
0.731343	0.273031	0.928356	0.302541
0.736318	0.270852	0.92813	0.302657
0.741294	0.269199	0.927937	0.302754
0.746269	0.267976	0.927776	0.302832
0.751244	0.267093	0.927645	0.302892
0.756219	0.266472	0.92754	0.302936
0.761194	0.266047	0.927453	0.302967
0.766169	0.265764	0.927377	0.302985
0.771144	0.26558	0.927303	0.30299
0.776119	0.265462	0.927218	0.302981
0.781095	0.265382	0.927104	0.302954
0.78607	0.265319	0.926933	0.302902
