x	rho	u	p
0	1	0	1
0.00497512	1	0	1
0.00995025	1	0	1
0.0149254	1	0	1
0.0199005	1	0	1
0.0248756	1	0	1
0.0298507	1	0	1
0.0348259	1	0	1
0.039801	1	0	1
0.0447761	1	0	1
0.0497512	1	0	1
0.0547264	1	0	1
0.0597015	1	0	1
0.0646766	1	0	1
0.0696517	1	0	1
0.0746269	1	2.90101e-17	1
0.079602	1	4.39615e-16	1
0.0845771	1	2.95457e-15	1
0.0895522	1	1.08208e-14	1
0.0945274	1	3.38392e-14	1
0.0995025	1	9.72464e-14	1
0.104478	1	2.70682e-13	1
0.109453	1	7.35918e-13	1
0.114428	1	1.97505e-12	1
0.119403	1	5.22612e-12	1
0.124378	1	1.36642e-11	1
0.129353	1	3.52858e-11	1
0.134328	1	9.00202e-11	1
0.139303	1	2.26841e-10	1
0.144279	1	5.64556e-10	1
0.149254	1	1.38753e-09	1
0.154229	1	3.3673e-09	1
0.159204	1	8.06821e-09	1
0.164179	1	1.90848e-08	1
0.169154	1	4.45637e-08	1
0.174129	1	1.02714e-07	1
0.179104	1	2.33678e-07	1
0.18408	1	5.24738e-07	0.999999
0.189055	0.999999	1.16311e-06	0.999999
0.19403	0.999998	2.545e-06	0.999997
0.199005	0.999996	5.49804e-06	0.999994
0.20398	0.99999	1.17294e-05	0.999987
0.208955	0.99998	2.47191e-05	0.999972
0.21393	0.999958	5.14831e-05	0.999941
0.218905	0.999913	0.000106028	0.999879
0.223881	0.999823	0.000216083	0.999753
0.228856	0.999643	0.000436123	0.999501
0.233831	0.999289	0.000867861	0.999004
0.238806	0.998614	0.00168812	0.998059
0.243781	0.997378	0.00318421	0.996331
0.248756	0.995227	0.0057805	0.993323
0.253731	0.991699	0.0100281	0.988396
0.258706	0.986297	0.0165238	0.980864
0.263682	0.978633	0.0257466	0.970206
0.268657	0.9686	0.0378614	0.956307
0.273632	0.956472	0.0526056	0.939584
0.278607	0.942826	0.0693609	0.920874
0.283582	0.92832	0.0873948	0.901107
0.288557	0.913471	0.106115	0.880998
0.293532	0.898559	0.125186	0.860932
0.298507	0.883682	0.14448	0.841046
0.303483	0.868863	0.163964	0.821367
0.308458	0.854111	0.183626	0.801911
0.313433	0.839446	0.203442	0.782704
0.318408	0.824891	0.223386	0.763772
0.323383	0.810465	0.243434	0.745139
0.328358	0.796181	0.263568	0.72682
0.333333	0.782043	0.283782	0.708818
0.338308	0.768068	0.304054	0.69115
0.343284	0.754244	0.324396	0.673801
0.348259	0.740598	0.344776	0.656797
0.353234	0.727104	0.365221	0.640107
0.358209	0.713795	0.385692	0.623765
0.363184	0.700638	0.406222	0.607732
0.368159	0.68767	0.426771	0.592043
0.373134	0.674851	0.447381	0.576655
0.378109	0.662226	0.467999	0.561608
0.383085	0.649737	0.488688	0.546843
0.38806	0.637465	0.509357	0.532435
0.393035	0.625294	0.530138	0.518267
0.39801	0.613357	0.55087	0.504466
0.402985	0.601531	0.571704	0.490908
0.40796	0.589899	0.592533	0.47767
0.412935	0.578407	0.613428	0.464697
0.41791	0.567089	0.634341	0.452019
0.422886	0.555909	0.655319	0.439598
0.427861	0.5449	0.67632	0.427459
0.432836	0.534026	0.697389	0.415569
0.437811	0.523308	0.718499	0.403943
0.442786	0.512729	0.739675	0.39256
0.447761	0.502292	0.760913	0.381422
0.452736	0.491989	0.782226	0.370518
0.457711	0.481816	0.803624	0.35984
0.462687	0.471766	0.825121	0.349379
0.467662	0.46183	0.846738	0.339124
0.472637	0.451996	0.868501	0.329062
0.477612	0.442249	0.890449	0.319174
0.482587	0.432565	0.912644	0.309436
0.487562	0.422909	0.935181	0.29981
0.492537	0.41322	0.958219	0.290238
0.497512	0.403511	0.982028	0.280689
0.502488	0.389852	1.01578	0.26749
0.507463	0.402216	0.984059	0.279674
0.512438	0.418295	0.945642	0.295362
0.517413	0.434238	0.910275	0.310739
0.522388	0.432373	0.914218	0.308971
0.527363	0.428478	0.922648	0.305243
0.532338	0.424298	0.93183	0.301234
0.537313	0.424577	0.931186	0.301509
0.542289	0.425199	0.929742	0.302124
0.547264	0.426089	0.927673	0.303002
0.552239	0.427114	0.925456	0.303832
0.557214	0.427355	0.924952	0.304189
0.562189	0.427158	0.925382	0.304002
0.567164	0.426676	0.926398	0.303556
0.572139	0.426031	0.927712	0.30298
0.577114	0.425478	0.928783	0.302535
0.58209	0.42549	0.928549	0.302612
0.587065	0.425536	0.928336	0.3027
0.59204	0.425666	0.928076	0.302838
0.597015	0.42581	0.927828	0.302966
0.60199	0.425909	0.927741	0.303052
0.606965	0.425969	0.927794	0.303022
0.61194	0.42604	0.927875	0.302997
0.616915	0.426164	0.927918	0.302991
0.621891	0.426384	0.927888	0.303017
0.626866	0.426702	0.927831	0.303054
0.631841	0.427101	0.927808	0.303064
0.636816	0.427248	0.927862	0.30307
0.641791	0.427117	0.927912	0.303044
0.646766	0.426654	0.928016	0.302992
0.651741	0.425608	0.928069	0.302962
0.656716	0.42355	0.928007	0.30297
0.661692	0.419847	0.927971	0.302948
0.666667	0.413818	0.927991	0.302889
0.671642	0.404726	0.928067	0.302802
0.676617	0.391876	0.928162	0.302715
0.681592	0.374722	0.928233	0.302662
0.686567	0.353014	0.928269	0.302658
0.691542	0.326971	0.928268	0.302708
0.696517	0.297424	0.928393	0.302811
0.701493	0.267661	0.92679	0.304237
0.706468	0.259355	0.927824	0.303258
0.711443	0.259465	0.927813	0.303158
0.716418	0.259878	0.927637	0.303185
0.721393	0.260693	0.927599	0.303169
0.726368	0.261999	0.927552	0.303149
0.731343	0.2637	0.927514	0.303131
0.736318	0.265378	0.92763	0.303008
0.741294	0.265613	0.927234	0.302984
0.746269	0.265589	0.92721	0.302982
0.751244	0.265514	0.927191	0.302979
0.756219	0.265386	0.927207	0.302966
0.761194	0.265226	0.927198	0.302972
0.766169	0.265164	0.927295	0.303005
0.771144	0.265156	0.927354	0.303047
0.776119	0.26517	0.927448	0.303082
0.781095	0.265224	0.927562	0.303125
0.78607	0.26531	0.927697	0.303177
0.791045	0.265404	0.927836	0.30322
0.79602	0.265438	0.927768	0.303208
0.800995	0.265456	0.927699	0.303182
0.80597	0.265467	0.927601	0.303151
0.810945	0.265469	0.927477	0.303117
