x	rho	u	p
0	1	0	1
0.00497512	1	0	1
0.00995025	1	6.39314e-12	1
0.0149254	1	1.37049e-11	1
0.0199005	1	2.90712e-11	1
0.0248756	1	6.10125e-11	1
0.0298507	1	1.26676e-10	1
0.0348259	1	2.6016e-10	1
0.039801	1	5.2846e-10	1
0.0447761	1	1.0616e-09	1
0.0497512	1	2.10883e-09	1
0.0547264	1	4.14193e-09	1
0.0597015	1	8.04258e-09	1
0.0646766	1	1.54372e-08	1
0.0696517	1	2.92865e-08	1
0.0746269	1	5.4909e-08	1
0.079602	1	1.01728e-07	1
0.0845771	1	1.8621e-07	1
0.0895522	1	3.36725e-07	1
0.0945274	0.999999	6.01449e-07	0.999999
0.0995025	0.999999	1.061e-06	0.999999
0.104478	0.999998	1.84827e-06	0.999998
0.109453	0.999997	3.17897e-06	0.999996
0.114428	0.999995	5.39781e-06	0.999994
0.119403	0.999992	9.04677e-06	0.999989
0.124378	0.999987	1.49641e-05	0.999982
0.129353	0.999979	2.44244e-05	0.999971
0.134328	0.999967	3.93322e-05	0.999953
0.139303	0.999947	6.24821e-05	0.999926
0.144279	0.999917	9.78997e-05	0.999884
0.149254	0.999872	0.000151273	0.999821
0.154229	0.999805	0.000230479	0.999727
0.159204	0.999707	0.000346207	0.99959
0.164179	0.999567	0.000512648	0.999394
0.169154	0.999368	0.00074823	0.999115
0.174129	0.999091	0.00107633	0.998727
0.179104	0.998711	0.00152591	0.998196
0.18408	0.998199	0.00213192	0.99748
0.189055	0.997521	0.00293549	0.996532
0.19403	0.996637	0.00398368	0.995296
0.199005	0.995503	0.00532887	0.993711
0.20398	0.994072	0.00702759	0.991713
0.208955	0.992295	0.009139	0.989235
0.21393	0.990124	0.011723	0.986209
0.218905	0.987511	0.0148382	0.982571
0.223881	0.984413	0.0185396	0.978264
0.228856	0.980791	0.0228768	0.973237
0.233831	0.976615	0.0278922	0.967451
0.238806	0.971863	0.0336196	0.960879
0.243781	0.966519	0.0400837	0.953508
0.248756	0.960581	0.0472995	0.945336
0.253731	0.95405	0.055273	0.936376
0.258706	0.94694	0.0640013	0.926651
0.263682	0.93927	0.0734735	0.916194
0.268657	0.931065	0.0836725	0.905048
0.273632	0.922355	0.0945752	0.893261
0.278607	0.913174	0.106155	0.880886
0.283582	0.903558	0.118381	0.86798
0.288557	0.893543	0.131221	0.8546
0.293532	0.883169	0.144642	0.840804
0.298507	0.872473	0.15861	0.826649
0.303483	0.861491	0.173092	0.812189
0.308458	0.850259	0.188056	0.797477
0.313433	0.838812	0.203469	0.782563
0.318408	0.82718	0.219301	0.767492
0.323383	0.815394	0.235525	0.752308
0.328358	0.803482	0.252114	0.737051
0.333333	0.791469	0.269042	0.721755
0.338308	0.77938	0.286286	0.706455
0.343284	0.767235	0.303825	0.69118
0.348259	0.755056	0.32164	0.675957
0.353234	0.74286	0.33971	0.66081
0.358209	0.730663	0.358021	0.64576
0.363184	0.718481	0.376556	0.630827
0.368159	0.706326	0.395302	0.616027
0.373134	0.694212	0.414244	0.601376
0.378109	0.682149	0.433373	0.586886
0.383085	0.670147	0.452676	0.57257
0.38806	0.658215	0.472144	0.558436
0.393035	0.646361	0.491769	0.544494
0.39801	0.634592	0.511541	0.53075
0.402985	0.622915	0.531453	0.517212
0.40796	0.611334	0.551499	0.503885
0.412935	0.599856	0.571672	0.490772
0.41791	0.588486	0.591966	0.477878
0.422886	0.577226	0.612376	0.465205
0.427861	0.566081	0.632897	0.452757
0.432836	0.555055	0.653523	0.440535
0.437811	0.544151	0.674248	0.428541
0.442786	0.533372	0.695068	0.416777
0.447761	0.522723	0.715974	0.405244
0.452736	0.512208	0.736959	0.393946
0.457711	0.501832	0.75801	0.382886
0.462687	0.491604	0.779109	0.37207
0.467662	0.481536	0.800229	0.361508
0.472637	0.471648	0.821321	0.351219
0.477612	0.461976	0.842303	0.341235
0.482587	0.452584	0.86302	0.331618
0.487562	0.443603	0.883158	0.322495
0.492537	0.435308	0.902048	0.314134
0.497512	0.428296	0.918236	0.30712
0.502488	0.423669	0.928996	0.302532
0.507463	0.422273	0.932178	0.301187
0.512438	0.422634	0.931202	0.3016
0.517413	0.422992	0.930228	0.302012
0.522388	0.423193	0.929616	0.302271
0.527363	0.423309	0.929196	0.30245
0.532338	0.423387	0.928858	0.302593
0.537313	0.42343	0.92859	0.302707
0.542289	0.423407	0.92847	0.302759
0.547264	0.423281	0.928578	0.302713
0.552239	0.423067	0.92888	0.302586
0.557214	0.422841	0.929195	0.302453
0.562189	0.422689	0.929317	0.302402
0.567164	0.422638	0.929181	0.30246
0.572139	0.422633	0.928911	0.302575
0.577114	0.422597	0.928685	0.302671
0.58209	0.422498	0.92858	0.302716
0.587065	0.422354	0.92854	0.302734
0.59204	0.42221	0.928446	0.302774
0.597015	0.42209	0.928222	0.302869
0.60199	0.42197	0.927885	0.303013
0.606965	0.421783	0.927522	0.303167
0.61194	0.421449	0.927225	0.303293
0.616915	0.420886	0.927032	0.303375
0.621891	0.420016	0.926915	0.303425
0.626866	0.418749	0.926813	0.303469
0.631841	0.416958	0.92669	0.303521
0.636816	0.414473	0.926579	0.303567
0.641791	0.411094	0.926576	0.303569
0.646766	0.406638	0.926779	0.303485
0.651741	0.400983	0.927233	0.303297
0.656716	0.3941	0.927897	0.303024
0.661692	0.38606	0.928642	0.302724
0.666667	0.377031	0.92928	0.302471
0.671642	0.367238	0.92964	0.302333
0.676617	0.356931	0.929648	0.302335
0.681592	0.34636	0.92937	0.302449
0.686567	0.335778	0.92896	0.302609
0.691542	0.325443	0.928577	0.302756
0.696517	0.315619	0.928311	0.302856
0.701493	0.306542	0.928182	0.302905
0.706468	0.298395	0.928164	0.302912
0.711443	0.291295	0.928214	0.302895
0.716418	0.285289	0.928274	0.302873
0.721393	0.28036	0.928283	0.302869
0.726368	0.276439	0.928183	0.3029
0.731343	0.27341	0.927945	0.302976
0.736318	0.27113	0.927577	0.303091
0.741294	0.269442	0.927126	0.303229
0.746269	0.268193	0.926661	0.303363
0.751244	0.267249	0.926249	0.303468
0.756219	0.26651	0.925948	0.303519
0.761194	0.265903	0.925791	0.303497
0.766169	0.265395	0.925756	0.303399
0.771144	0.26498	0.925751	0.30324
