x	rho	u	p
0	1	0	1
0.00497512	1	0	1
0.00995025	1	0	1
0.0149254	1	0	1
0.0199005	1	0	1
0.0248756	1	0	1
0.0298507	1	0	1
0.0348259	1	0	1
0.039801	1	0	1
0.0447761	1	0	1
0.0497512	1	0	1
0.0547264	1	0	1
0.0597015	1	0	1
0.0646766	1	0	1
0.0696517	1	0	1
0.0746269	1	0	1
0.079602	1	0	1
0.0845771	1	0	1
0.0895522	1	0	1
0.0945274	1	0	1
0.0995025	1	0	1
0.104478	1	0	1
0.109453	1	0	1
0.114428	1	0	1
0.119403	1	0	1
0.124378	1	0	1
0.129353	1	0	1
0.134328	1	0	1
0.139303	1	0	1
0.144279	1	0	1
0.149254	1	0	1
0.154229	1	0	1
0.159204	1	0	1
0.164179	1	0	1
0.169154	1	0	1
0.174129	1	0	1
0.179104	1	0	1
0.18408	1	0	1
0.189055	1	0	1
0.19403	1	0	1
0.199005	1	0	1
0.20398	1	0	1
0.208955	1	0	1
0.21393	1	0	1
0.218905	1	0	1
0.223881	1	0	1
0.228856	1	0	1
0.233831	1	0	1
0.238806	1	0	1
0.243781	1	0	1
0.248756	1	0	1
0.253731	1	0	1
0.258706	0.995862	0.00488625	0.994229
0.263682	0.980533	0.0231852	0.972869
0.268657	0.964819	0.0421883	0.951111
0.273632	0.949315	0.0611856	0.929783
0.278607	0.933984	0.0802166	0.908832
0.283582	0.918814	0.0992981	0.888233
0.288557	0.903796	0.118436	0.867976
0.293532	0.888931	0.13763	0.848059
0.298507	0.874223	0.156876	0.828482
0.303483	0.859676	0.176168	0.809248
0.308458	0.845294	0.1955	0.79036
0.313433	0.831082	0.214864	0.771821
0.318408	0.817043	0.234253	0.753633
0.323383	0.803182	0.253658	0.735798
0.328358	0.789503	0.273075	0.718316
0.333333	0.776007	0.292497	0.701187
0.338308	0.762696	0.311919	0.684408
0.343284	0.74957	0.331339	0.667978
0.348259	0.736626	0.350754	0.65189
0.353234	0.723864	0.370165	0.636139
0.358209	0.711281	0.389574	0.620717
0.363184	0.698873	0.408984	0.605615
0.368159	0.686635	0.428403	0.590823
0.373134	0.674558	0.447839	0.576329
0.378109	0.662634	0.467303	0.562121
0.383085	0.650854	0.486807	0.548185
0.38806	0.63921	0.506366	0.534509
0.393035	0.627692	0.525995	0.521079
0.39801	0.616291	0.545709	0.507882
0.402985	0.604998	0.565526	0.494907
0.40796	0.593806	0.58546	0.482142
0.412935	0.582709	0.605523	0.469581
0.41791	0.571702	0.625727	0.457216
0.422886	0.560783	0.64608	0.445044
0.427861	0.549951	0.666585	0.433062
0.432836	0.539208	0.687243	0.421271
0.437811	0.528558	0.708049	0.409676
0.442786	0.518011	0.728986	0.398284
0.447761	0.507581	0.750031	0.387108
0.452736	0.497272	0.771172	0.376154
0.457711	0.487067	0.792447	0.365399
0.462687	0.476929	0.813939	0.354803
0.467662	0.466875	0.835615	0.344384
0.472637	0.45707	0.857118	0.334309
0.477612	0.447679	0.878077	0.324734
0.482587	0.438412	0.899111	0.31536
0.487562	0.42893	0.920879	0.305902
0.492537	0.420988	0.939366	0.298064
0.497512	0.416113	0.95106	0.293232
0.502488	0.419015	0.946163	0.295491
0.507463	0.428138	0.926044	0.303894
0.512438	0.427486	0.927017	0.303446
0.517413	0.426369	0.927007	0.303293
0.522388	0.425075	0.926498	0.303246
0.527363	0.42464	0.927489	0.302929
0.532338	0.424784	0.928229	0.30252
0.537313	0.425548	0.928774	0.302458
0.542289	0.426261	0.928525	0.302673
0.547264	0.426726	0.927322	0.303108
0.552239	0.426552	0.927411	0.303048
0.557214	0.425602	0.928683	0.302323
0.562189	0.425066	0.929439	0.302345
0.567164	0.425653	0.927991	0.302974
0.572139	0.426012	0.927238	0.303323
0.577114	0.425657	0.928058	0.302967
0.58209	0.425963	0.927341	0.30326
0.587065	0.426423	0.926268	0.303688
0.59204	0.425946	0.927301	0.303227
0.597015	0.425661	0.92779	0.302998
0.60199	0.425876	0.927102	0.303276
0.606965	0.425743	0.927141	0.303233
0.61194	0.425522	0.927292	0.303171
0.616915	0.425274	0.927403	0.303166
0.621891	0.425397	0.926361	0.303593
0.626866	0.42485	0.92621	0.303585
0.631841	0.423713	0.926832	0.303311
0.636816	0.422473	0.927326	0.303061
0.641791	0.421813	0.926984	0.303356
0.646766	0.421421	0.926718	0.303523
0.651741	0.42083	0.927118	0.303304
0.656716	0.419776	0.927615	0.303054
0.661692	0.417855	0.927629	0.303035
0.666667	0.414011	0.927389	0.303146
0.671642	0.406802	0.927224	0.303237
0.676617	0.394641	0.927399	0.303185
0.681592	0.376345	0.927666	0.303095
0.686567	0.351354	0.927813	0.30304
0.691542	0.320105	0.927069	0.303185
0.696517	0.283578	0.926005	0.303046
0.701493	0.26121	0.926634	0.303304
0.706468	0.260576	0.928818	0.302507
0.711443	0.259955	0.932384	0.301348
0.716418	0.260621	0.93317	0.301345
0.721393	0.262482	0.929962	0.302573
0.726368	0.264751	0.926095	0.303964
0.731343	0.266616	0.925043	0.304384
0.736318	0.267432	0.926398	0.304184
0.741294	0.267085	0.927862	0.303619
0.746269	0.266958	0.927564	0.303745
0.751244	0.266682	0.927543	0.30359
0.756219	0.266349	0.929032	0.30309
0.761194	0.266194	0.929409	0.302829
0.766169	0.266262	0.928093	0.303208
0.771144	0.266406	0.92604	0.303868
0.776119	0.265668	0.926519	0.303409
0.781095	0.264711	0.927514	0.302813
0.78607	0.264438	0.927903	0.302533
0.791045	0.264626	0.927505	0.302654
0.79602	0.264391	0.929277	0.302112
0.800995	0.265227	0.927768	0.302822
0.80597	0.266023	0.926103	0.303386
0.810945	0.266011	0.926869	0.303649
0.81592	0.265639	0.929141	0.303088
0.820896	0.26556	0.929229	0.303314
0.825871	0.265471	0.929111	0.30348
0.830846	0.265797	0.925411	0.304182
0.835821	0.264182	0.925594	0.301129
0.840796	0.263682	0.899116	0.297729
0.845771	0.250659	0.838722	0.274422
0.850746	0.201386	0.663416	0.21877
0.855721	0.136933	0.186743	0.126223
0.860697	0.125	0	0.1
0.865672	0.125	0	0.1
0.870647	0.125	0	0.1
0.875622	0.125	0	0.1
0.880597	0.125	0	0.1
0.885572	0.125	0	0.1
0.890547	0.125	0	0.1
