x	rho	u	p
0	1	0	1
0.01	0.999997	5.22223e-06	0.999996
0.02	0.999995	1.01627e-05	0.999992
0.03	0.99999	1.93813e-05	0.999985
0.04	0.999981	3.62095e-05	0.999972
0.05	0.999965	6.62463e-05	0.999949
0.06	0.999938	0.00011864	0.999909
0.07	0.999891	0.000207907	0.999841
0.08	0.999812	0.000356376	0.999727
0.09	0.999686	0.000597297	0.999543
0.1	0.999485	0.000978526	0.999251
0.11	0.999176	0.00156649	0.998801
0.12	0.998711	0.00244997	0.998125
0.13	0.998031	0.00374294	0.997138
0.14	0.997064	0.00558563	0.995732
0.15	0.995723	0.00814305	0.993786
0.16	0.993914	0.0116004	0.991162
0.17	0.991536	0.016155	0.987717
0.18	0.988492	0.0220066	0.983314
0.19	0.984691	0.0293447	0.977824
0.2	0.980058	0.0383376	0.971146
0.21	0.974538	0.0491218	0.963208
0.22	0.968103	0.061795	0.953976
0.23	0.960748	0.0764121	0.943456
0.24	0.952496	0.0929848	0.93169
0.25	0.943393	0.111484	0.918755
0.26	0.933506	0.131844	0.904755
0.27	0.922914	0.153969	0.889816
0.28	0.911708	0.177739	0.874077
0.29	0.899988	0.203015	0.857683
0.3	0.887853	0.229643	0.840785
0.31	0.875404	0.25746	0.823528
0.32	0.862741	0.286289	0.806058
0.33	0.849963	0.315945	0.788515
0.34	0.837168	0.346229	0.771035
0.35	0.824453	0.376922	0.753755
0.36	0.81192	0.407776	0.736814
0.37	0.799681	0.4385	0.720363
0.38	0.787859	0.468746	0.704567
0.39	0.776599	0.498082	0.689621
0.4	0.76607	0.525975	0.675753
0.41	0.756473	0.551775	0.663235
0.42	0.748025	0.574739	0.652372
0.43	0.740932	0.594112	0.643471
0.44	0.735318	0.60932	0.636775
0.45	0.731118	0.620253	0.632376
0.46	0.727917	0.62756	0.63019
0.47	0.724667	0.632916	0.630181
0.48	0.71898	0.639538	0.633059
0.49	0.706205	0.653135	0.641358
0.5	0.682486	0.679652	0.658313
0.51	0.125	0	0.1
0.52	0.125	0	0.1
0.53	0.125	0	0.1
0.54	0.125	0	0.1
0.55	0.125	0	0.1
0.56	0.125	0	0.1
0.57	0.125	0	0.1
0.58	0.125	0	0.1
0.59	0.125	0	0.1
0.6	0.125	0	0.1
0.61	0.125	0	0.1
0.62	0.125	0	0.1
0.63	0.125	0	0.1
0.64	0.125	0	0.1
0.65	0.125	0	0.1
0.66	0.125	0	0.1
0.67	0.125	0	0.1
0.68	0.125	0	0.1
0.69	0.125	0	0.1
0.7	0.125	0	0.1
0.71	0.125	0	0.1
0.72	0.125	0	0.1
0.73	0.125	0	0.1
0.74	0.125	0	0.1
0.75	0.125	0	0.1
0.76	0.125	0	0.1
0.77	0.125	0	0.1
0.78	0.125	0	0.1
0.79	0.125	0	0.1
0.8	0.125	0	0.1
0.81	0.125	0	0.1
0.82	0.125	0	0.1
0.83	0.125	0	0.1
0.84	0.125	0	0.1
0.85	0.125	0	0.1
0.86	0.125	0	0.1
0.87	0.125	0	0.1
0.88	0.125	0	0.1
0.89	0.125	0	0.1
0.9	0.125	0	0.1
0.91	0.125	0	0.1
0.92	0.125	0	0.1
0.93	0.125	0	0.1
0.94	0.125	0	0.1
0.95	0.125	0	0.1
0.96	0.125	0	0.1
0.97	0.125	0	0.1
0.98	0.125	0	0.1
0.99	0.125	0	0.1
