x	rho	u	p
0	1	0	1
0.00497512	1	0	1
0.00995025	1	0	1
0.0149254	1	0	1
0.0199005	1	0	1
0.0248756	1	0	1
0.0298507	1	0	1
0.0348259	1	0	1
0.039801	1	0	1
0.0447761	1	0	1
0.0497512	1	0	1
0.0547264	1	0	1
0.0597015	1	0	1
0.0646766	1	0	1
0.0696517	1	0	1
0.0746269	1	0	1
0.079602	1	0	1
0.0845771	1	0	1
0.0895522	1	0	1
0.0945274	1	0	1
0.0995025	1	0	1
0.104478	1	0	1
0.109453	1	0	1
0.114428	1	0	1
0.119403	1	0	1
0.124378	1	0	1
0.129353	1	0	1
0.134328	1	0	1
0.139303	1	0	1
0.144279	1	0	1
0.149254	1	0	1
0.154229	1	0	1
0.159204	1	0	1
0.164179	1	0	1
0.169154	1	0	1
0.174129	1	0	1
0.179104	1	0	1
0.18408	1	0	1
0.189055	1	0	1
0.19403	1	0	1
0.199005	1	0	1
0.20398	1	0	1
0.208955	1	0	1
0.21393	1	0	1
0.218905	1	0	1
0.223881	1	0	1
0.228856	1	0	1
0.233831	1	0	1
0.238806	1	0	1
0.243781	1	0	1
0.248756	1	0	1
0.253731	1	0	1
0.258706	0.994877	0.00724273	0.992667
0.263682	0.979742	0.0243699	0.971695
0.268657	0.964546	0.0426571	0.950711
0.273632	0.949417	0.061151	0.929916
0.278607	0.934393	0.0797221	0.909381
0.283582	0.919516	0.0984189	0.889177
0.288557	0.904767	0.117217	0.869275
0.293532	0.890135	0.136091	0.849659
0.298507	0.875628	0.155047	0.830338
0.303483	0.861253	0.174088	0.811318
0.308458	0.847009	0.193207	0.792596
0.313433	0.832898	0.212399	0.774175
0.318408	0.818925	0.231663	0.756055
0.323383	0.805091	0.250995	0.738238
0.328358	0.791399	0.270394	0.720722
0.333333	0.777849	0.289856	0.703509
0.338308	0.764443	0.30938	0.686595
0.343284	0.751182	0.328964	0.669982
0.348259	0.738067	0.348606	0.653666
0.353234	0.725098	0.368306	0.637645
0.358209	0.712275	0.388062	0.621919
0.363184	0.6996	0.407872	0.606484
0.368159	0.687073	0.427735	0.591338
0.373134	0.674693	0.447651	0.576478
0.378109	0.662461	0.467618	0.561903
0.383085	0.650377	0.487635	0.54761
0.38806	0.638441	0.507701	0.533597
0.393035	0.626653	0.527813	0.519859
0.39801	0.615014	0.547972	0.506396
0.402985	0.603523	0.568175	0.493204
0.40796	0.592179	0.588423	0.480279
0.412935	0.580982	0.608715	0.467619
0.41791	0.569931	0.629052	0.455219
0.422886	0.559023	0.649436	0.443074
0.427861	0.548257	0.669869	0.431179
0.432836	0.537629	0.690357	0.419528
0.437811	0.527138	0.710902	0.408117
0.442786	0.516779	0.731512	0.396939
0.447761	0.50655	0.752187	0.385989
0.452736	0.496454	0.772926	0.375268
0.457711	0.486496	0.793713	0.364778
0.462687	0.476693	0.814513	0.354535
0.467662	0.467074	0.835257	0.344566
0.472637	0.457681	0.855845	0.33491
0.477612	0.448562	0.876159	0.32561
0.482587	0.439739	0.896126	0.316685
0.487562	0.431161	0.915827	0.308079
0.492537	0.422519	0.935899	0.29949
0.497512	0.412424	0.959889	0.289503
0.502488	0.378814	1.04431	0.256884
0.507463	0.454107	0.866675	0.330867
0.512438	0.425365	0.929334	0.302162
0.517413	0.425111	0.92996	0.302133
0.522388	0.425124	0.929995	0.302125
0.527363	0.425451	0.92922	0.302431
0.532338	0.425879	0.92816	0.302836
0.537313	0.426275	0.927158	0.3032
0.542289	0.426583	0.926471	0.30339
0.547264	0.42658	0.926514	0.303459
0.552239	0.426313	0.927244	0.303192
0.557214	0.426121	0.927796	0.303008
0.562189	0.426055	0.928031	0.303032
0.567164	0.426084	0.928024	0.303081
0.572139	0.426084	0.927989	0.303072
0.577114	0.426044	0.927972	0.303015
0.58209	0.425998	0.927902	0.302942
0.587065	0.425972	0.927853	0.302908
0.59204	0.42597	0.927835	0.302917
0.597015	0.425958	0.927814	0.302939
0.60199	0.425919	0.927795	0.302967
0.606965	0.425858	0.927783	0.303002
0.61194	0.425826	0.927745	0.303024
0.616915	0.425841	0.927733	0.303029
0.621891	0.425875	0.927741	0.303017
0.626866	0.425946	0.927745	0.303002
0.631841	0.425964	0.927724	0.303002
0.636816	0.425921	0.92769	0.303022
0.641791	0.425695	0.927669	0.303038
0.646766	0.425089	0.927672	0.303052
0.651741	0.423804	0.927687	0.303065
0.656716	0.42141	0.927699	0.303079
0.661692	0.417331	0.927705	0.303092
0.666667	0.410874	0.927702	0.303102
0.671642	0.401286	0.927688	0.303107
0.676617	0.387858	0.92767	0.303104
0.681592	0.370068	0.927664	0.303087
0.686567	0.347747	0.92767	0.303046
0.691542	0.321215	0.927851	0.302925
0.696517	0.291504	0.929153	0.3025
0.701493	0.264533	0.931238	0.303375
0.706468	0.259814	0.927666	0.303129
0.711443	0.259955	0.92766	0.303126
0.716418	0.260439	0.927634	0.303123
0.721393	0.261379	0.927572	0.303127
0.726368	0.262753	0.927539	0.303134
0.731343	0.264468	0.927449	0.30322
0.736318	0.265438	0.927428	0.303075
0.741294	0.265441	0.927405	0.303073
0.746269	0.265418	0.927374	0.303064
0.751244	0.265366	0.927345	0.303058
0.756219	0.265295	0.927335	0.303055
0.761194	0.26525	0.927314	0.303053
0.766169	0.265253	0.927296	0.303052
0.771144	0.265267	0.927279	0.303053
0.776119	0.265288	0.927274	0.30305
0.781095	0.265319	0.92727	0.303046
0.78607	0.265361	0.927244	0.303053
0.791045	0.265404	0.927217	0.303046
0.79602	0.265419	0.927242	0.303036
0.800995	0.26543	0.927199	0.303036
0.80597	0.265449	0.927143	0.303038
0.810945	0.26544	0.927193	0.303012
0.81592	0.265457	0.927094	0.30301
0.820896	0.265449	0.926948	0.302978
0.825871	0.265362	0.926582	0.302819
0.830846	0.265084	0.925064	0.302363
0.835821	0.264064	0.920008	0.300729
0.840796	0.260578	0.902553	0.295177
0.845771	0.24895	0.843853	0.276779
0.850746	0.213957	0.671624	0.223043
0.855721	0.147386	0.241658	0.128906
0.860697	0.125	-1.8377e-07	0.1
0.865672	0.125	-1.05689e-07	0.1
0.870647	0.125	-9.52814e-09	0.1
0.875622	0.125	1.31066e-12	0.1
0.880597	0.125	4.89626e-13	0.1
