x	rho	u	p
0	1	0	1
0.01	1	7.19904e-10	1
0.02	1	2.08761e-09	1
0.03	1	6.02361e-09	1
0.04	1	1.68856e-08	1
0.05	1	4.62176e-08	1
0.06	1	1.23455e-07	1
0.07	1	3.21622e-07	1
0.08	0.999999	8.16606e-07	0.999999
0.09	0.999999	2.01918e-06	0.999998
0.1	0.999996	4.85825e-06	0.999995
0.11	0.999992	1.13643e-05	0.999988
0.12	0.999981	2.58197e-05	0.999973
0.13	0.999958	5.69196e-05	0.999941
0.14	0.99991	0.000121618	0.999873
0.15	0.999812	0.000251559	0.999737
0.16	0.999622	0.000503087	0.999471
0.17	0.999266	0.000971474	0.998972
0.18	0.998625	0.00180891	0.998076
0.19	0.997521	0.00324359	0.99653
0.2	0.995699	0.00559414	0.993981
0.21	0.992833	0.00927086	0.989972
0.22	0.988535	0.0147547	0.983966
0.23	0.982399	0.0225493	0.975404
0.24	0.974064	0.0331121	0.963798
0.25	0.963277	0.0467798	0.948823
0.26	0.949946	0.0637128	0.930396
0.27	0.934157	0.0838763	0.908694
0.28	0.916154	0.107064	0.884119
0.29	0.896284	0.132949	0.857221
0.3	0.874941	0.16115	0.828603
0.31	0.852512	0.191282	0.798843
0.32	0.829343	0.222991	0.768452
0.33	0.805727	0.255975	0.737848
0.34	0.781902	0.28998	0.707363
0.35	0.758056	0.324801	0.67725
0.36	0.734335	0.360273	0.647699
0.37	0.710854	0.396257	0.61885
0.38	0.687704	0.432635	0.590809
0.39	0.664959	0.469304	0.563653
0.4	0.642681	0.506165	0.537444
0.41	0.620926	0.543114	0.512229
0.42	0.599749	0.580038	0.488054
0.43	0.579209	0.616803	0.464963
0.44	0.559369	0.653241	0.443005
0.45	0.54031	0.689137	0.422243
0.46	0.522128	0.724212	0.402757
0.47	0.504949	0.758097	0.384648
0.48	0.488927	0.790324	0.368046
0.49	0.474253	0.820312	0.353112
0.5	0.461149	0.847387	0.340025
0.51	0.449845	0.870851	0.328962
0.52	0.440533	0.890112	0.320052
0.53	0.4333	0.904868	0.313313
0.54	0.428053	0.915258	0.308599
0.55	0.424491	0.921891	0.30559
0.56	0.422146	0.925686	0.303855
0.57	0.420481	0.927618	0.302948
0.58	0.418964	0.928501	0.302501
0.59	0.417114	0.928894	0.302257
0.6	0.414496	0.929119	0.302066
0.61	0.410711	0.929337	0.301855
0.62	0.405408	0.929611	0.3016
0.63	0.398328	0.929954	0.301308
0.64	0.389352	0.930349	0.301
0.65	0.378555	0.930764	0.30071
0.66	0.366225	0.931157	0.300473
0.67	0.352843	0.931475	0.30032
0.68	0.339029	0.931667	0.300274
0.69	0.325453	0.93169	0.300341
0.7	0.312738	0.931517	0.300513
0.71	0.30138	0.93115	0.300767
0.72	0.291694	0.930612	0.301067
0.73	0.283802	0.929939	0.30137
0.74	0.277646	0.929155	0.301627
0.75	0.273037	0.928243	0.301788
0.76	0.269693	0.927111	0.301788
0.77	0.267284	0.925549	0.30154
0.78	0.265457	0.92317	0.300906
0.79	0.263839	0.919317	0.299661
0.8	0.262011	0.912911	0.297438
0.81	0.25947	0.902208	0.293656
0.82	0.255543	0.884406	0.287412
0.83	0.249303	0.855027	0.277367
0.84	0.239458	0.806952	0.261666
0.85	0.224346	0.729097	0.238054
0.86	0.202383	0.605852	0.204823
0.87	0.174448	0.426144	0.164414
0.88	0.148272	0.222828	0.128703
0.89	0.132931	0.0809656	0.109262
0.9	0.127191	0.0228358	0.102484
0.91	0.125555	0.00581261	0.100623
0.92	0.125137	0.00143413	0.100153
0.93	0.125033	0.000350365	0.100037
0.94	0.125008	8.52024e-05	0.100009
0.95	0.125002	2.06456e-05	0.100002
0.96	0.125	4.98439e-06	0.100001
0.97	0.125	1.19672e-06	0.1
0.98	0.125	2.87702e-07	0.1
0.99	0.125	0	0.1
