x	rho	u	p
0	1	0	1
0.00497512	1	0	1
0.00995025	1	0	1
0.0149254	1	0	1
0.0199005	1	0	1
0.0248756	1	0	1
0.0298507	1	0	1
0.0348259	1	0	1
0.039801	1	0	1
0.0447761	1	0	1
0.0497512	1	0	1
0.0547264	1	0	1
0.0597015	1	0	1
0.0646766	1	0	1
0.0696517	1	0	1
0.0746269	1	0	1
0.079602	1	0	1
0.0845771	1	0	1
0.0895522	1	0	1
0.0945274	1	0	1
0.0995025	1	0	1
0.104478	1	0	1
0.109453	1	0	1
0.114428	1	0	1
0.119403	1	0	1
0.124378	1	0	1
0.129353	1	0	1
0.134328	1	0	1
0.139303	1	0	1
0.144279	1	0	1
0.149254	1	0	1
0.154229	1	0	1
0.159204	1	0	1
0.164179	1	0	1
0.169154	1	0	1
0.174129	1	0	1
0.179104	1	0	1
0.18408	1	0	1
0.189055	1	0	1
0.19403	1	6.80622e-16	1
0.199005	1	2.75529e-14	1
0.20398	1	5.75382e-14	1
0.208955	1	-7.43041e-12	1
0.21393	1	-6.52964e-11	1
0.218905	1	-1.07974e-10	1
0.223881	1	1.10936e-08	1
0.228856	1	8.66808e-08	1
0.233831	1	1.28756e-07	1
0.238806	1	-9.52994e-07	1
0.243781	1.00004	-4.65103e-05	1.00006
0.248756	1.00009	-0.000137976	1.00013
0.253731	1.00016	-0.000158777	1.00022
0.258706	1.00014	-0.00017708	1.0002
0.263682	0.996653	0.00475076	0.995314
0.268657	0.973555	0.0331885	0.963111
0.273632	0.953683	0.0547686	0.935896
0.278607	0.941726	0.0702766	0.91945
0.283582	0.925392	0.0911553	0.897113
0.288557	0.908524	0.111974	0.874409
0.293532	0.893728	0.131024	0.854537
0.298507	0.87876	0.150604	0.834561
0.303483	0.863691	0.170444	0.814612
0.308458	0.848953	0.190109	0.79524
0.313433	0.834452	0.209771	0.776296
0.318408	0.820095	0.229499	0.757679
0.323383	0.80593	0.249247	0.739436
0.328358	0.791937	0.269021	0.721542
0.333333	0.778119	0.28882	0.703993
0.338308	0.76447	0.308652	0.686783
0.343284	0.750996	0.328518	0.669913
0.348259	0.737693	0.348418	0.653375
0.353234	0.724559	0.368349	0.637164
0.358209	0.711592	0.388307	0.621274
0.363184	0.698793	0.408293	0.605703
0.368159	0.686163	0.428307	0.590448
0.373134	0.673701	0.448349	0.575506
0.378109	0.661407	0.468417	0.560872
0.383085	0.649278	0.488509	0.546542
0.38806	0.637314	0.508622	0.53251
0.393035	0.625514	0.528757	0.518774
0.39801	0.61388	0.548913	0.505331
0.402985	0.602409	0.569089	0.492176
0.40796	0.591101	0.589282	0.479305
0.412935	0.579957	0.609488	0.466716
0.41791	0.568976	0.629705	0.454405
0.422886	0.55816	0.649928	0.44237
0.427861	0.547509	0.67015	0.430611
0.432836	0.537027	0.690365	0.419125
0.437811	0.526714	0.710563	0.407913
0.442786	0.516576	0.730732	0.396974
0.447761	0.506617	0.750858	0.386311
0.452736	0.496844	0.770917	0.37593
0.457711	0.487271	0.79088	0.365837
0.462687	0.477915	0.810701	0.356048
0.467662	0.468809	0.830302	0.346591
0.472637	0.460013	0.849538	0.337523
0.477612	0.451642	0.868131	0.328954
0.482587	0.443894	0.885596	0.321078
0.487562	0.437063	0.901192	0.31418
0.492537	0.431514	0.913992	0.308612
0.497512	0.427679	0.923041	0.304734
0.502488	0.425471	0.927908	0.302723
0.507463	0.425182	0.928532	0.302416
0.512438	0.425605	0.92756	0.302834
0.517413	0.426191	0.926209	0.303416
0.522388	0.426727	0.924982	0.303901
0.527363	0.426903	0.924503	0.304164
0.532338	0.426888	0.92456	0.304195
0.537313	0.426698	0.925015	0.304008
0.542289	0.426456	0.925597	0.303759
0.547264	0.426251	0.926131	0.303575
0.552239	0.426263	0.926223	0.303448
0.557214	0.426352	0.926183	0.303464
0.562189	0.426523	0.926003	0.303541
0.567164	0.42669	0.925809	0.30364
0.572139	0.426786	0.925557	0.303678
0.577114	0.426775	0.925482	0.303699
0.58209	0.426701	0.925489	0.303677
0.587065	0.426595	0.92553	0.303643
0.59204	0.426479	0.925553	0.303622
0.597015	0.426354	0.925526	0.303625
0.60199	0.426203	0.925453	0.303648
0.606965	0.426	0.925372	0.303674
0.61194	0.425745	0.925347	0.303693
0.616915	0.425646	0.925318	0.303701
0.621891	0.425651	0.925331	0.303684
0.626866	0.425733	0.92529	0.303703
0.631841	0.425942	0.925171	0.303782
0.636816	0.426097	0.924933	0.303816
0.641791	0.426087	0.924854	0.303887
0.646766	0.425791	0.924876	0.303882
0.651741	0.424867	0.924964	0.303855
0.656716	0.42281	0.924993	0.303844
0.661692	0.418883	0.924984	0.30384
0.666667	0.41217	0.924956	0.303836
0.671642	0.401634	0.924963	0.303806
0.676617	0.386347	0.925027	0.303738
0.681592	0.36576	0.925202	0.303615
0.686567	0.339983	0.925514	0.303404
0.691542	0.310041	0.925366	0.303034
0.696517	0.276966	0.92751	0.301354
0.701493	0.262571	0.92569	0.303524
0.706468	0.262326	0.925727	0.303569
0.711443	0.262343	0.925729	0.30359
0.716418	0.262549	0.925775	0.30359
0.721393	0.263067	0.925777	0.303602
0.726368	0.263882	0.925785	0.303613
0.731343	0.264852	0.925828	0.30362
0.736318	0.265764	0.925872	0.303626
0.741294	0.266314	0.925893	0.303563
0.746269	0.266398	0.926116	0.303632
0.751244	0.266393	0.926514	0.303777
0.756219	0.266408	0.927018	0.303969
0.761194	0.266441	0.927514	0.304128
0.766169	0.266414	0.927551	0.304141
0.771144	0.266359	0.927516	0.304132
0.776119	0.266296	0.927356	0.304076
0.781095	0.266209	0.926999	0.303954
0.78607	0.266074	0.926422	0.303756
0.791045	0.265881	0.925644	0.303486
0.79602	0.265653	0.924746	0.303174
0.800995	0.265561	0.924442	0.303085
0.80597	0.26555	0.924443	0.303092
0.810945	0.265547	0.924475	0.303107
0.81592	0.265545	0.924524	0.303114
0.820896	0.265533	0.924487	0.303104
0.825871	0.265476	0.924177	0.303016
0.830846	0.265221	0.922914	0.302607
0.835821	0.264305	0.918356	0.30115
0.840796	0.26125	0.903119	0.296325
0.845771	0.251659	0.854173	0.281264
0.850746	0.219184	0.69976	0.231048
0.855721	0.145544	0.218112	0.126609
