x	rho	u	p
0	1	0	1
0.01	1	3.46853e-07	1
0.02	0.999999	7.47174e-07	0.999999
0.03	0.999999	1.57708e-06	0.999998
0.04	0.999997	3.26041e-06	0.999996
0.05	0.999994	6.5994e-06	0.999992
0.06	0.999989	1.30728e-05	0.999985
0.07	0.999979	2.53327e-05	0.99997
0.08	0.999959	4.80009e-05	0.999943
0.09	0.999925	8.88954e-05	0.999895
0.1	0.999864	0.000160833	0.99981
0.11	0.99976	0.000284144	0.999664
0.12	0.999586	0.000489987	0.99942
0.13	0.999303	0.000824394	0.999025
0.14	0.998857	0.00135281	0.9984
0.15	0.998171	0.00216455	0.997441
0.16	0.997149	0.00337638	0.996011
0.17	0.995666	0.00513416	0.99394
0.18	0.993578	0.00761156	0.991027
0.19	0.990723	0.0110052	0.987048
0.2	0.986928	0.015526	0.981767
0.21	0.982022	0.0213877	0.974956
0.22	0.975846	0.028794	0.966407
0.23	0.968269	0.0379256	0.955953
0.24	0.959193	0.0489301	0.943481
0.25	0.948562	0.0619148	0.928944
0.26	0.936366	0.0769438	0.912355
0.27	0.922635	0.0940387	0.893793
0.28	0.907438	0.113183	0.873388
0.29	0.890874	0.134328	0.851315
0.3	0.873066	0.157401	0.827776
0.31	0.85415	0.182308	0.802992
0.32	0.834274	0.208949	0.77719
0.33	0.813583	0.237214	0.750597
0.34	0.792222	0.266994	0.723428
0.35	0.770329	0.298183	0.695884
0.36	0.748032	0.330679	0.66815
0.37	0.72545	0.364387	0.640393
0.38	0.70269	0.399222	0.612758
0.39	0.679849	0.435103	0.585373
0.4	0.657011	0.471963	0.558348
0.41	0.634252	0.509738	0.531775
0.42	0.611637	0.548376	0.505732
0.43	0.589224	0.587831	0.480284
0.44	0.567062	0.628061	0.455482
0.45	0.545196	0.66903	0.43137
0.46	0.523669	0.710696	0.407989
0.47	0.502533	0.752994	0.385383
0.48	0.481869	0.795786	0.363624
0.49	0.461855	0.838699	0.342882
0.5	0.443012	0.880529	0.323659
0.51	0.427232	0.916664	0.307812
0.52	0.420388	0.932413	0.301119
0.53	0.420236	0.932277	0.301178
0.54	0.42056	0.930948	0.301738
0.55	0.420633	0.930166	0.302069
0.56	0.420561	0.929692	0.30227
0.57	0.420427	0.929332	0.302423
0.58	0.42018	0.929131	0.302507
0.59	0.419678	0.929196	0.30248
0.6	0.418708	0.929518	0.302343
0.61	0.416999	0.929894	0.302184
0.62	0.414168	0.930068	0.302107
0.63	0.409714	0.929915	0.302165
0.64	0.403103	0.929527	0.302316
0.65	0.393966	0.929089	0.302478
0.66	0.382279	0.92873	0.302595
0.67	0.36844	0.928446	0.302664
0.68	0.353202	0.928119	0.302727
0.69	0.337528	0.927566	0.302842
0.7	0.322394	0.926614	0.303055
0.71	0.308614	0.925225	0.303351
0.72	0.296714	0.923597	0.30362
0.73	0.286914	0.922084	0.303686
0.74	0.279204	0.920854	0.303421
0.75	0.273402	0.919739	0.30277
0.76	0.269173	0.918346	0.301695
0.77	0.266044	0.916222	0.300109
0.78	0.263492	0.912656	0.297867
0.79	0.260787	0.906917	0.294717
0.8	0.25715	0.897865	0.290377
0.81	0.25198	0.883506	0.284541
0.82	0.244668	0.861681	0.276674
0.83	0.234947	0.829262	0.26614
0.84	0.222864	0.782214	0.252061
0.85	0.208348	0.715889	0.233498
0.86	0.191969	0.623751	0.210141
0.87	0.173959	0.502984	0.182822
0.88	0.156505	0.358645	0.154802
0.89	0.142526	0.215657	0.130895
0.9	0.133482	0.107793	0.114792
0.91	0.128609	0.0465415	0.106246
0.92	0.126439	0.0184193	0.10245
0.93	0.125545	0.00698564	0.100926
0.94	0.125203	0.00259546	0.100344
0.95	0.125074	0.000953411	0.100126
0.96	0.125027	0.000347417	0.100046
0.97	0.12501	0.000125704	0.100017
0.98	0.125004	4.5162e-05	0.100006
0.99	0.125	0	0.1
